date,open,close,high,low,amount
2026-02-12,41.1,41.85,42.05,40.4,1207675.0
2026-02-13,40.97,38.5,41.2,38.38,1434957.0
2026-02-24,40.86,42.23,42.35,40.41,1484058.0
2026-02-25,42.23,40.3,42.76,39.15,1521113.0
2026-02-26,41.22,44.33,44.33,41.2,1308081.0
2026-02-27,42.24,47.5,47.6,42.24,1873295.0
2026-03-02,46.0,49.6,52.19,46.0,1788036.0
2026-03-03,50.07,47.52,50.96,47.3,1626074.0
2026-03-04,46.9,48.38,48.95,45.99,1475986.0
2026-03-05,48.9,50.9,51.88,48.04,1697857.0
2026-03-06,49.37,48.43,50.29,47.33,1405078.0
2026-03-09,45.81,45.72,46.16,43.59,1602048.0
2026-03-10,46.72,49.99,50.2,46.72,1536678.0
2026-03-11,51.0,50.8,54.3,50.63,1681006.0
2026-03-12,49.9,51.42,54.3,49.9,1506799.0
2026-03-13,51.05,49.68,53.0,49.45,1307841.0
2026-03-16,49.28,47.23,50.2,46.67,1254501.0
2026-03-17,47.89,43.22,48.29,43.09,1607182.0
2026-03-18,43.1,44.51,44.65,42.42,1378913.0
2026-03-19,42.88,43.11,44.4,42.87,905456.0
2026-03-20,44.5,42.98,45.4,42.89,1286511.0
2026-03-23,42.03,41.36,42.97,40.92,1067278.0
2026-03-24,42.8,44.37,44.4,41.6,1386909.0
2026-03-25,46.08,48.17,48.6,46.0,1802096.0
2026-03-26,47.81,47.88,49.88,47.17,1389671.0
2026-03-27,46.88,48.95,50.21,46.52,1392972.0
2026-03-30,48.1,53.85,53.85,48.1,1351087.0
2026-03-31,53.31,52.66,54.66,51.34,1760899.0
2026-04-01,54.66,51.96,54.7,50.58,1287396.0
2026-04-02,52.03,53.39,55.8,52.03,1469875.0
2026-04-03,54.45,58.05,58.73,54.01,1698326.0
2026-04-07,58.35,58.7,61.5,58.0,1668754.0
2026-04-08,60.8,58.56,60.87,56.55,1951079.0
2026-04-09,57.21,59.54,60.8,56.11,1941819.0
2026-04-10,59.21,55.98,59.21,55.71,2089276.0
2026-04-13,55.0,53.49,55.95,53.1,2035119.0
2026-04-14,53.51,52.67,54.41,52.15,1569564.0
2026-04-15,52.86,52.13,53.99,51.73,1301525.0
2026-04-16,51.81,53.14,53.44,50.89,1428402.0
2026-04-17,52.59,55.65,56.1,52.59,2134174.0
2026-04-20,58.35,60.89,60.99,57.5,2218726.0
2026-04-21,59.5,59.8,60.4,57.27,1832092.0
2026-04-22,59.7,65.78,65.78,59.55,2036964.0
2026-04-23,66.77,69.52,70.3,66.03,2734389.0
2026-04-24,68.0,69.54,71.3,66.55,2212030.0
2026-04-27,69.54,71.38,74.49,68.9,2495122.0
2026-04-28,70.0,68.29,71.6,67.68,1765843.0
2026-04-29,67.0,67.38,68.2,65.35,1237637.0
2026-04-30,67.7,65.7,68.0,63.3,1609348.0
2026-05-06,67.5,71.8,72.27,67.5,1915747.0
2026-05-07,74.55,75.96,76.63,71.8,1908904.0
2026-05-08,74.25,77.27,79.49,74.25,1633023.0
2026-05-11,79.3,74.99,79.9,73.83,2388971.0
2026-05-12,75.5,75.1,78.5,74.66,1770023.0
2026-05-13,73.34,75.43,77.0,73.33,1523329.0
2026-05-14,76.88,74.0,77.2,73.68,1430964.0
2026-05-15,73.98,69.8,74.51,67.97,1583769.0
2026-05-18,69.01,71.8,72.95,69.01,1291686.0
2026-05-19,70.4,75.47,76.11,66.52,1941733.0
2026-05-20,74.7,75.78,78.13,74.0,1710653.0
2026-05-21,75.99,69.9,76.0,69.38,1630204.0
2026-05-22,70.66,73.05,73.3,69.69,1319919.0
2026-05-25,73.1,73.41,73.74,69.67,1462518.0
2026-05-26,72.01,69.41,72.08,67.67,1596622.0
2026-05-27,68.64,68.69,71.6,68.02,1332688.0
2026-05-28,67.5,70.48,70.98,65.62,1603202.0
2026-05-29,70.49,77.12,77.53,69.48,3239282.0
2026-06-01,75.24,75.56,80.81,73.4,2372171.0
2026-06-02,74.61,83.12,83.12,74.61,1913933.0
