date,open,close,high,low,amount
2026-01-22,23.21,23.21,23.42,23.14,2157398.0
2026-01-23,23.26,23.2,23.35,23.15,2589457.0
2026-01-26,23.15,23.21,23.63,23.03,4255350.0
2026-01-27,23.18,22.8,23.2,22.63,3164758.0
2026-01-28,22.8,22.68,22.92,22.67,2551353.0
2026-01-29,22.56,23.04,23.2,22.29,4177875.0
2026-01-30,23.0,22.6,23.0,22.58,2698550.0
2026-02-02,22.51,22.43,22.95,22.35,2397881.0
2026-02-03,22.58,22.6,22.63,22.38,1799504.0
2026-02-04,22.5,22.79,23.02,22.42,2975684.0
2026-02-05,22.65,22.83,23.03,22.61,2720392.0
2026-02-06,22.68,22.56,22.81,22.55,1978229.0
2026-02-09,22.71,22.85,22.85,22.62,2088064.0
2026-02-10,22.82,22.79,22.99,22.75,1522516.0
2026-02-11,22.75,22.67,22.84,22.63,1494661.0
2026-02-12,22.65,22.56,22.67,22.55,1533620.0
2026-02-13,22.6,22.27,22.72,22.26,2054685.0
2026-02-24,22.39,22.31,22.47,22.23,1412138.0
2026-02-25,22.37,22.64,22.79,22.33,2559644.0
2026-02-26,22.59,22.4,22.6,22.33,1891532.0
2026-02-27,22.36,22.42,22.57,22.27,1766812.0
2026-03-02,22.16,21.85,22.22,21.8,2826772.0
2026-03-03,21.83,21.54,22.23,21.52,2907619.0
2026-03-04,21.33,20.92,21.45,20.85,2885489.0
2026-03-05,21.23,20.99,21.25,20.89,2128068.0
2026-03-06,20.9,21.46,21.54,20.86,2338196.0
2026-03-09,21.05,21.13,21.24,20.92,1973014.0
2026-03-10,21.32,21.26,21.46,21.16,1611210.0
2026-03-11,21.25,21.37,21.49,21.15,1803025.0
2026-03-12,21.28,21.26,21.43,21.15,1517371.0
2026-03-13,21.2,21.0,21.36,20.96,1766135.0
2026-03-16,20.99,21.11,21.13,20.84,1447071.0
2026-03-17,21.2,21.46,21.97,21.16,4200422.0
2026-03-18,21.35,21.41,21.45,21.21,1857579.0
2026-03-19,21.24,21.23,21.5,21.15,2174638.0
2026-03-20,21.1,20.11,21.12,20.11,4774624.0
2026-03-23,19.68,19.51,19.95,19.46,3141250.0
2026-03-24,19.77,19.67,19.86,19.45,2088912.0
2026-03-25,19.65,19.8,20.05,19.63,2251418.0
2026-03-26,19.71,19.02,19.72,19.0,2794390.0
2026-03-27,18.83,19.11,19.29,18.79,1814800.0
2026-03-30,18.82,18.97,19.05,18.73,1584573.0
2026-03-31,18.97,18.79,19.27,18.75,1692907.0
2026-04-01,19.1,19.09,19.19,18.98,1729787.0
2026-04-02,19.01,18.65,19.02,18.58,1797448.0
2026-04-03,18.72,18.38,18.77,18.38,1383924.0
2026-04-07,18.41,18.35,18.51,18.25,1233648.0
2026-04-08,18.8,19.39,19.49,18.7,3911372.0
2026-04-09,19.05,18.85,19.06,18.81,2104108.0
2026-04-10,19.12,19.66,20.36,19.12,5970106.0
2026-04-13,19.42,19.91,20.15,19.4,3459852.0
2026-04-14,20.09,20.05,20.18,19.74,2689218.0
2026-04-15,20.19,19.75,20.24,19.7,2181632.0
2026-04-16,19.84,19.96,20.15,19.76,2361668.0
2026-04-17,19.85,19.94,20.05,19.7,2157491.0
2026-04-20,19.95,20.05,20.14,19.82,2155679.0
2026-04-21,20.04,19.94,20.13,19.82,1729478.0
2026-04-22,19.86,20.18,20.36,19.82,2839824.0
2026-04-23,20.1,19.89,20.23,19.79,2339842.0
2026-04-24,19.85,19.7,19.85,19.55,1787523.0
2026-04-27,19.84,19.98,20.2,19.78,2222896.0
2026-04-28,19.9,20.16,20.46,19.9,3494785.0
2026-04-29,20.02,20.26,20.32,20.0,2479666.0
2026-04-30,20.25,20.36,20.95,20.19,3626370.0
2026-05-06,20.4,20.85,21.03,20.4,4274764.0
2026-05-07,21.0,20.73,21.05,20.55,3378852.0
2026-05-08,20.6,20.49,20.74,20.39,2320830.0
2026-05-11,20.45,21.28,21.35,20.44,5811921.0
2026-05-12,21.14,21.27,21.6,21.01,4099231.0
2026-05-13,21.12,21.08,21.24,20.81,3750097.0
2026-05-14,21.09,20.18,21.2,20.17,3864283.0
2026-05-15,20.17,19.73,20.33,19.67,3695445.0
2026-05-18,19.6,19.77,20.01,19.56,2211135.0
2026-05-19,19.78,19.9,19.95,19.38,2679894.0
2026-05-20,19.78,19.67,19.91,19.61,1857497.0
2026-05-21,19.85,19.98,21.03,19.83,7221721.0
2026-05-22,19.96,19.5,20.09,19.36,4295945.0
2026-05-25,19.72,19.87,20.25,19.58,3357935.0
2026-05-26,19.68,20.05,20.28,19.58,4221819.0
2026-05-27,19.8,19.61,20.19,19.58,3260433.0
2026-05-28,19.51,19.19,19.55,18.96,3414909.0
2026-05-29,19.2,19.16,19.73,19.16,3719590.0
2026-06-01,19.05,18.97,19.27,18.85,2445990.0
2026-06-02,18.91,18.91,19.09,18.65,2668462.0
