date,open,close,high,low,amount
2026-01-23,20.85,20.57,21.34,20.39,974790.0
2026-01-26,20.57,20.45,21.18,20.28,704949.0
2026-01-27,20.33,20.32,20.59,20.14,487724.0
2026-01-28,20.45,21.61,21.95,20.34,1055990.0
2026-01-29,21.62,21.11,21.92,20.66,816162.0
2026-01-30,20.68,21.18,21.39,20.32,637170.0
2026-02-02,20.95,19.96,21.0,19.81,1008349.0
2026-02-03,20.26,20.5,20.57,19.76,536911.0
2026-02-04,20.56,21.74,22.23,20.05,1405547.0
2026-02-05,21.71,21.57,22.27,21.23,895962.0
2026-02-06,21.7,21.8,22.06,20.91,768137.0
2026-02-09,22.21,22.25,22.58,21.85,732567.0
2026-02-10,22.31,23.13,23.49,22.1,905095.0
2026-02-11,23.81,25.46,25.46,23.8,1067350.0
2026-02-12,26.21,27.29,27.64,26.0,2512610.0
2026-02-13,26.61,25.54,26.74,25.4,1324284.0
2026-02-24,27.11,28.11,28.11,26.91,1278299.0
2026-02-25,28.25,27.43,28.39,27.01,1579632.0
2026-02-26,27.23,28.31,28.69,26.77,1376714.0
2026-02-27,27.41,26.85,27.79,26.59,1423961.0
2026-03-02,26.12,28.16,28.51,26.12,1210279.0
2026-03-03,28.21,26.26,28.7,26.19,1325806.0
2026-03-04,26.06,26.23,27.08,26.06,870829.0
2026-03-05,27.11,27.2,27.96,26.71,958427.0
2026-03-06,26.91,26.16,27.06,25.81,858024.0
2026-03-09,24.94,25.81,26.01,24.33,911367.0
2026-03-10,26.41,26.67,27.06,26.11,665748.0
2026-03-11,26.94,26.31,27.41,26.27,566313.0
2026-03-12,25.93,26.31,26.76,25.62,623880.0
2026-03-13,26.31,25.91,26.61,25.76,588574.0
2026-03-16,25.73,24.52,25.9,23.76,1479579.0
2026-03-17,24.52,23.73,24.91,23.7,746261.0
2026-03-18,24.04,24.39,24.49,23.63,602913.0
2026-03-19,24.29,23.26,24.29,23.1,682588.0
2026-03-20,23.63,22.46,23.99,22.33,895355.0
2026-03-23,22.23,23.24,23.71,21.4,1259221.0
2026-03-24,23.69,23.96,24.01,23.18,1042556.0
2026-03-25,24.49,25.1,25.38,24.49,1072092.0
2026-03-26,24.91,24.31,25.23,24.15,565630.0
2026-03-27,23.67,24.8,24.87,23.59,655226.0
2026-03-30,24.31,24.66,25.4,23.84,687384.0
2026-03-31,24.51,24.12,24.84,23.71,515916.0
2026-04-01,25.66,25.52,26.49,25.25,849928.0
2026-04-02,25.51,25.44,25.86,25.11,579347.0
2026-04-03,25.61,25.76,26.96,25.51,740933.0
2026-04-07,26.02,26.14,27.38,25.9,831151.0
2026-04-08,26.96,27.16,27.31,26.36,1036675.0
2026-04-09,26.81,27.81,27.86,26.21,952071.0
2026-04-10,29.15,29.0,29.66,27.91,1151843.0
2026-04-13,28.88,31.92,31.92,28.8,1209739.0
2026-04-14,32.88,32.28,33.11,31.75,1738279.0
2026-04-15,31.61,30.91,32.71,30.69,1378014.0
2026-04-16,31.93,32.81,33.68,31.63,1702501.0
2026-04-17,32.46,33.31,34.31,32.18,1552061.0
2026-04-20,32.89,31.52,33.09,31.31,1718987.0
2026-04-21,31.52,31.56,31.86,31.01,1005176.0
2026-04-22,31.31,32.06,32.13,30.84,1360090.0
2026-04-23,32.61,33.33,34.21,32.54,1603687.0
2026-04-24,33.31,32.81,33.5,31.62,1283901.0
2026-04-27,33.69,33.25,35.02,33.01,1347029.0
2026-04-28,33.43,34.31,35.18,33.27,1484054.0
2026-04-29,33.99,35.51,36.07,33.96,1771971.0
2026-04-30,35.46,34.31,35.48,32.51,1867694.0
2026-05-06,35.01,36.81,37.59,35.01,1652310.0
2026-05-07,36.82,37.74,38.24,36.21,1334336.0
2026-05-08,37.26,37.81,38.51,36.64,1156005.0
2026-05-11,38.3,37.82,39.69,36.79,1562436.0
2026-05-12,37.71,37.63,37.82,35.83,1361856.0
2026-05-13,36.81,37.91,38.19,36.31,1329007.0
2026-05-14,39.11,37.43,39.11,36.71,1555877.0
2026-05-15,37.41,33.67,37.81,33.67,2086697.0
2026-05-18,33.61,33.95,34.63,32.69,1380053.0
2026-05-19,33.74,34.71,34.87,32.52,1305090.0
2026-05-20,34.58,34.92,35.79,34.31,1066972.0
2026-05-21,35.31,35.33,37.61,34.93,1800636.0
2026-05-22,35.61,38.16,38.16,35.61,1715411.0
2026-05-25,38.78,39.23,39.31,37.61,1580696.0
2026-05-26,38.8,41.09,42.76,38.79,1950592.0
2026-05-27,41.29,39.53,41.42,39.0,1262841.0
2026-05-28,39.27,43.48,43.48,38.69,1762793.0
2026-05-29,43.48,42.1,43.98,42.01,1675785.0
2026-06-01,41.29,38.32,41.66,37.9,2146854.0
2026-06-02,37.56,38.9,39.64,37.3,1778027.0
